X,Y,full_id,osm_id,osm_type,amenity,covered,ele,bbq,name,leisure,check_date,icon_url
-33.2353809224483,-85.526609826584,n5891146328,"5891146328",node,,,,,,picnic_table,,./0.png
-33.2353809113723,-85.5266098264894,n5891146329,"5891146329",node,,,,,,picnic_table,,./0.png
-33.2353808976824,-85.5266098245926,n5891146330,"5891146330",node,,,,,,picnic_table,,./0.png
-33.2353808785229,-85.5266098242683,n5891146331,"5891146331",node,,,,,,picnic_table,,./0.png
-33.2353808156482,-85.5266098208362,n5891146332,"5891146332",node,,,,,,picnic_table,,./0.png
-33.2353808235828,-85.526609821065,n5891146333,"5891146333",node,,,,,,picnic_table,,./0.png
-33.2353807807011,-85.5266098189998,n5891146336,"5891146336",node,,,,,,picnic_table,,./0.png
-33.2353808162357,-85.5266098183053,n5891146337,"5891146337",node,,,,,,picnic_table,,./0.png
-33.2353779246339,-85.526609895067,n6024181541,"6024181541",node,,,,,,picnic_table,,./0.png
-33.2354000360225,-85.526608398224,n6125468384,"6125468384",node,,,,,,picnic_table,,./0.png
-33.2354000158799,-85.5266083966257,n6125469185,"6125469185",node,,,,,,picnic_table,,./0.png
-33.2354000404844,-85.5266083957793,n6125469186,"6125469186",node,,,,,,picnic_table,,./0.png
-33.2353922824567,-85.5266084648941,n6169128322,"6169128322",node,,,,,,picnic_table,,./0.png
-33.2353807386891,-85.5266103474258,n6185306057,"6185306057",node,,,,,,picnic_table,,./0.png
-33.2353807524452,-85.5266103503611,n6185306066,"6185306066",node,,,,,,picnic_table,,./0.png
-33.235380752487,-85.5266103489868,n6185306083,"6185306083",node,,,,,,picnic_table,,./0.png
-33.2353965968171,-85.526612117607,n6633003350,"6633003350",node,,,,,,picnic_table,,./0.png
-33.2353859557336,-85.526609622992,n6994461569,"6994461569",node,,,,,Table en bois,picnic_table,,./0.png
-33.2353855194111,-85.5266096241029,n6994469624,"6994469624",node,,,,,Table en bois,picnic_table,,./0.png
-33.235385634061,-85.5266096304296,n6994470534,"6994470534",node,,,,,Table en bois,picnic_table,,./0.png
-33.2353848840958,-85.526609647717,n6994472035,"6994472035",node,,,,,Table en bois,picnic_table,,./0.png
-33.2353849356099,-85.5266096517404,n6994478251,"6994478251",node,,,,,Table en bois,picnic_table,,./0.png
-33.23539444651,-85.5266098115756,n7258281820,"7258281820",node,,,,,,picnic_table,,./0.png
-33.2353940913299,-85.5266098134347,n7258281822,"7258281822",node,,,,,,picnic_table,,./0.png
-33.2353782499698,-85.5266096540152,n7706899479,"7706899479",node,,,,,,picnic_table,,./0.png
-33.2353781177115,-85.526609655924,n7706899481,"7706899481",node,,,,,,picnic_table,,./0.png
-33.2354064267241,-85.5266102428628,n7981966775,"7981966775",node,,,,,,picnic_table,,./0.png
-33.2354064071305,-85.5266102512293,n7981966776,"7981966776",node,,,,,,picnic_table,,./0.png
-33.2354064233552,-85.5266102488755,n7981966777,"7981966777",node,,,,,,picnic_table,,./0.png
