X,Y,Id,Nom,Commune,icon_url
55.6674868839522,-21.0347382558549,"1",La Sirandane,Saint-Benoît,./0.png
55.3067521431412,-20.9972626693743,"2",Mon Manzé,Saint-Paul,./0.png
55.6904095289044,-21.10504847205,"3",Du Champ à l'assiette,Saint-Benoît,./0.png
55.5828529695336,-20.9333629908225,"4",Far Far créole,Sainte-Suzanne,./0.png
